lemma,total_count,unique_comments,words
00520,1,1,00520
00520first,1,1,00520first
005213319652342,1,1,005213319652342
0091,2,2,0091
0099,1,1,0099
00:00,9,9,00:00
00:00:00,1,1,00:00:00
00:01:37,1,1,00:01:37
01,10,9,01
01/04/2013,1,1,01/04/2013
01/05/2012.i,1,1,01/05/2012.i
01/05/2013,1,1,01/05/2013
01/07/2011,1,1,01/07/2011
01/08/2015,1,1,01/08/2015
01/10,1,1,01/10
01/11/2010,2,1,01/11/2010
01/11/2018,2,2,01/11/2018
01/12/04,1,1,01/12/04
01/13/2012,1,1,01/13/2012
01/14/2014,1,1,01/14/2014
01/16/14,1,1,01/16/14
01/16/2015,1,1,01/16/2015
01/17/14,1,1,01/17/14
01/18/2018,1,1,01/18/2018
01/20/2011,1,1,01/20/2011
01/2002,1,1,01/2002
01/2012,1,1,01/2012
01/21/2011,1,1,01/21/2011
01/21/2014,1,1,01/21/2014
01/22/09,1,1,01/22/09
01/22/2010,1,1,01/22/2010
01/23/2009,1,1,01/23/2009
01/23/2012,1,1,01/23/2012
01/23/2015,1,1,01/23/2015
01/25,1,1,01/25
01/26/2012,1,1,01/26/2012
01/27/06,1,1,01/27/06
01/28/2011,1,1,01/28/2011
01/31/18,1,1,01/31/18
01/31/2013,1,1,01/31/2013
01/31/2014,1,1,01/31/2014
010,1,1,010
0100,4,1,0100
01032012,1,1,01032012
011,2,2,011
01112013,1,1,01112013
"01112013,then",1,1,"01112013,then"
0117,1,1,0117
012,1,1,012
0130,1,1,0130
01302018:consumer,1,1,01302018:consumer
0131,1,1,0131
01312013,1,1,01312013
013316767488,1,1,013316767488
0148,1,1,0148
0158known,1,1,0158known
0173,1,1,0173
0178,1,1,0178
0179,2,2,0179
0184,1,1,0184
0194,2,2,0194
01:03:33,1,1,01:03:33
01:04:58,1,1,01:04:58
01:05:18,1,1,01:05:18
01:07:28,1,1,01:07:28
01:07:33,1,1,01:07:33
01:14:51,1,1,01:14:51
01:20:14,1,1,01:20:14
01:27:45,1,1,01:27:45
01:28:00,1,1,01:28:00
01:29:12,1,1,01:29:12
01:29:12.0610,1,1,01:29:12.0610
01:33:33,1,1,01:33:33
01:35:42,1,1,01:35:42
01:38:49,1,1,01:38:49
01:43,1,1,01:43
01:44:03,1,1,01:44:03
